instant,date,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,count
2995,2011-07-13,3,0,7,16,0,3,1,2,0.66,0.5909,0.89,0,23,118,141
2996,2011-07-13,3,0,7,17,0,3,1,1,0.7,0.6667,0.79,0,70,418,488
2997,2011-07-13,3,0,7,18,0,3,1,1,0.72,0.697,0.79,0.1343,51,412,463
2998,2011-07-13,3,0,7,19,0,3,1,1,0.7,0.6667,0.79,0.1045,79,340,419
2999,2011-07-13,3,0,7,20,0,3,1,1,0.7,0.6667,0.84,0.1642,61,281,342
3000,2011-07-13,3,0,7,21,0,3,1,1,0.7,0.6667,0.79,0.1045,56,194,250
3001,2011-07-13,3,0,7,22,0,3,1,1,0.68,0.6364,0.83,0.194,48,136,184
3002,2011-07-13,3,0,7,23,0,3,1,1,0.66,0.6061,0.83,0.2537,33,83,116
3003,2011-07-14,3,0,7,0,0,4,1,1,0.66,0.6212,0.69,0.2985,14,32,46
3004,2011-07-14,3,0,7,1,0,4,1,1,0.66,0.6212,0.61,0.2537,4,21,25
3005,2011-07-14,3,0,7,2,0,4,1,1,0.64,0.6212,0.57,0.2985,3,7,10
3006,2011-07-14,3,0,7,3,0,4,1,1,0.62,0.6212,0.57,0.2985,1,5,6
3007,2011-07-14,3,0,7,4,0,4,1,1,0.62,0.6212,0.53,0.2537,0,6,6
3008,2011-07-14,3,0,7,5,0,4,1,1,0.6,0.6212,0.56,0.2239,6,22,28
3009,2011-07-14,3,0,7,6,0,4,1,1,0.6,0.6061,0.6,0.2239,14,116,130
3010,2011-07-14,3,0,7,7,0,4,1,1,0.62,0.6212,0.53,0.2537,23,311,334
3011,2011-07-14,3,0,7,8,0,4,1,1,0.64,0.6212,0.5,0.3582,53,433,486
3012,2011-07-14,3,0,7,9,0,4,1,1,0.68,0.6364,0.47,0.2836,29,195,224
3013,2011-07-14,3,0,7,10,0,4,1,1,0.7,0.6364,0.42,0.2537,32,95,127
3014,2011-07-14,3,0,7,11,0,4,1,1,0.72,0.6515,0.37,0.2239,38,110,148
3015,2011-07-14,3,0,7,12,0,4,1,1,0.74,0.6515,0.35,0.2537,51,172,223
3016,2011-07-14,3,0,7,13,0,4,1,1,0.76,0.6667,0.33,0.3284,39,138,177
3017,2011-07-14,3,0,7,14,0,4,1,1,0.74,0.6515,0.35,0.2836,49,129,178
3018,2011-07-14,3,0,7,15,0,4,1,1,0.76,0.6667,0.33,0.2985,42,138,180
3019,2011-07-14,3,0,7,16,0,4,1,1,0.76,0.6667,0.33,0.1343,43,231,274
3020,2011-07-14,3,0,7,17,0,4,1,1,0.74,0.6515,0.37,0.1343,78,517,595
3021,2011-07-14,3,0,7,18,0,4,1,1,0.72,0.6515,0.42,0.194,94,484,578
3022,2011-07-14,3,0,7,19,0,4,1,1,0.72,0.6515,0.39,0.2239,67,333,400
3023,2011-07-14,3,0,7,20,0,4,1,1,0.7,0.6364,0.42,0.2239,81,267,348
3024,2011-07-14,3,0,7,21,0,4,1,1,0.66,0.6212,0.5,0.1343,58,203,261
3025,2011-07-14,3,0,7,22,0,4,1,1,0.64,0.6212,0.57,0.0896,42,134,176
3026,2011-07-14,3,0,7,23,0,4,1,1,0.64,0.6061,0.65,0.2537,27,97,124
3027,2011-07-15,3,0,7,0,0,5,1,1,0.62,0.5909,0.73,0.2239,23,57,80
3028,2011-07-15,3,0,7,1,0,5,1,1,0.62,0.5909,0.73,0.194,7,13,20
3029,2011-07-15,3,0,7,2,0,5,1,1,0.6,0.5758,0.78,0.1642,16,22,38
3030,2011-07-15,3,0,7,3,0,5,1,1,0.6,0.5909,0.73,0.194,1,6,7
3031,2011-07-15,3,0,7,4,0,5,1,1,0.6,0.5909,0.73,0.1642,2,8,10
3032,2011-07-15,3,0,7,5,0,5,1,1,0.6,0.5909,0.73,0.1343,7,16,23
3033,2011-07-15,3,0,7,6,0,5,1,2,0.6,0.5909,0.73,0.1045,12,108,120
3034,2011-07-15,3,0,7,7,0,5,1,1,0.64,0.6061,0.65,0.1045,17,257,274
3035,2011-07-15,3,0,7,8,0,5,1,1,0.64,0.6061,0.65,0.2537,50,514,564
3036,2011-07-15,3,0,7,9,0,5,1,1,0.68,0.6364,0.54,0.194,31,176,207
3037,2011-07-15,3,0,7,10,0,5,1,2,0.66,0.6212,0.61,0.1642,59,107,166
3038,2011-07-15,3,0,7,11,0,5,1,1,0.7,0.6515,0.54,0.1343,73,137,210
3039,2011-07-15,3,0,7,12,0,5,1,1,0.7,0.6515,0.48,0.194,61,177,238
3040,2011-07-15,3,0,7,13,0,5,1,1,0.7,0.6515,0.54,0.194,85,162,247
3041,2011-07-15,3,0,7,14,0,5,1,1,0.7,0.6515,0.51,0.194,105,160,265
3042,2011-07-15,3,0,7,15,0,5,1,1,0.72,0.6515,0.45,0.1642,74,163,237
3043,2011-07-15,3,0,7,16,0,5,1,1,0.72,0.6667,0.51,0.194,96,265,361
3044,2011-07-15,3,0,7,17,0,5,1,1,0.74,0.6667,0.42,0.2537,104,483,587
3045,2011-07-15,3,0,7,18,0,5,1,1,0.72,0.6515,0.45,0.2239,102,394,496
3046,2011-07-15,3,0,7,19,0,5,1,1,0.7,0.6364,0.45,0.2239,114,280,394
3047,2011-07-15,3,0,7,20,0,5,1,1,0.7,0.6515,0.51,0.2239,92,251,343
3048,2011-07-15,3,0,7,21,0,5,1,1,0.66,0.6212,0.54,0.1045,75,186,261
3049,2011-07-15,3,0,7,22,0,5,1,1,0.66,0.6212,0.57,0.2239,71,152,223
3050,2011-07-15,3,0,7,23,0,5,1,1,0.64,0.6212,0.61,0.1642,41,126,167
3051,2011-07-16,3,0,7,0,0,6,0,1,0.62,0.6061,0.65,0.194,42,68,110
3052,2011-07-16,3,0,7,1,0,6,0,1,0.6,0.5909,0.69,0.1045,24,51,75
3053,2011-07-16,3,0,7,2,0,6,0,1,0.6,0.5909,0.73,0.1343,10,48,58
3054,2011-07-16,3,0,7,3,0,6,0,1,0.6,0.5758,0.78,0.1343,6,20,26
3055,2011-07-16,3,0,7,4,0,6,0,1,0.6,0.5909,0.73,0.0896,9,7,16
3056,2011-07-16,3,0,7,5,0,6,0,1,0.58,0.5455,0.78,0.0896,4,6,10
3057,2011-07-16,3,0,7,6,0,6,0,1,0.6,0.5758,0.78,0.1642,16,21,37
3058,2011-07-16,3,0,7,7,0,6,0,1,0.62,0.5909,0.73,0.1343,14,38,52
3059,2011-07-16,3,0,7,8,0,6,0,1,0.66,0.6212,0.65,0.1642,37,90,127
3060,2011-07-16,3,0,7,9,0,6,0,1,0.7,0.6515,0.54,0.2239,72,150,222
3061,2011-07-16,3,0,7,10,0,6,0,1,0.72,0.6667,0.54,0.194,114,208,322
3062,2011-07-16,3,0,7,11,0,6,0,1,0.74,0.6667,0.48,0.2239,171,225,396
3063,2011-07-16,3,0,7,12,0,6,0,1,0.76,0.6818,0.43,0.2836,187,276,463
3064,2011-07-16,3,0,7,13,0,6,0,1,0.76,0.6818,0.45,0.2985,221,276,497
3065,2011-07-16,3,0,7,14,0,6,0,1,0.74,0.6667,0.45,0.2985,201,232,433
3066,2011-07-16,3,0,7,15,0,6,0,1,0.76,0.6818,0.45,0.3284,205,223,428
3067,2011-07-16,3,0,7,16,0,6,0,1,0.76,0.6818,0.45,0.2836,183,242,425
3068,2011-07-16,3,0,7,17,0,6,0,1,0.76,0.6818,0.45,0.2239,234,241,475
3069,2011-07-16,3,0,7,18,0,6,0,1,0.76,0.6818,0.45,0.2836,185,243,428
3070,2011-07-16,3,0,7,19,0,6,0,1,0.74,0.6818,0.48,0.194,164,242,406
3071,2011-07-16,3,0,7,20,0,6,0,1,0.72,0.6667,0.51,0.2239,108,188,296
3072,2011-07-16,3,0,7,21,0,6,0,1,0.7,0.6515,0.58,0.2239,85,167,252
3073,2011-07-16,3,0,7,22,0,6,0,1,0.7,0.6515,0.65,0.2836,65,136,201
3074,2011-07-16,3,0,7,23,0,6,0,1,0.68,0.6364,0.61,0.2239,61,107,168
3075,2011-07-17,3,0,7,0,0,0,0,1,0.66,0.6212,0.65,0.2239,34,91,125
3076,2011-07-17,3,0,7,1,0,0,0,1,0.64,0.6061,0.69,0.194,16,86,102
3077,2011-07-17,3,0,7,2,0,0,0,1,0.64,0.6061,0.69,0.2239,28,66,94
3078,2011-07-17,3,0,7,3,0,0,0,1,0.64,0.6061,0.69,0.2239,21,26,47
3079,2011-07-17,3,0,7,4,0,0,0,1,0.62,0.5909,0.73,0.1642,4,6,10
3080,2011-07-17,3,0,7,5,0,0,0,1,0.64,0.6061,0.69,0.2239,4,8,12
3081,2011-07-17,3,0,7,6,0,0,0,1,0.62,0.5909,0.73,0.1642,10,11,21
3082,2011-07-17,3,0,7,7,0,0,0,1,0.64,0.6061,0.73,0.1642,20,30,50
3083,2011-07-17,3,0,7,8,0,0,0,1,0.68,0.6364,0.65,0.2239,45,73,118
3084,2011-07-17,3,0,7,9,0,0,0,1,0.72,0.6667,0.58,0.2239,74,110,184
3085,2011-07-17,3,0,7,10,0,0,0,1,0.74,0.6818,0.6,0.2239,127,177,304
3086,2011-07-17,3,0,7,11,0,0,0,1,0.76,0.697,0.55,0.2836,147,244,391
3087,2011-07-17,3,0,7,12,0,0,0,1,0.76,0.697,0.55,0.2836,177,243,420
3088,2011-07-17,3,0,7,13,0,0,0,1,0.8,0.7424,0.49,0.2985,200,272,472
3089,2011-07-17,3,0,7,14,0,0,0,1,0.8,0.7424,0.49,0.3582,168,262,430
3090,2011-07-17,3,0,7,15,0,0,0,1,0.82,0.7424,0.43,0.2985,129,195,324
3091,2011-07-17,3,0,7,16,0,0,0,1,0.8,0.7273,0.46,0.2985,129,188,317
3092,2011-07-17,3,0,7,17,0,0,0,1,0.8,0.7424,0.49,0.3881,133,236,369
3093,2011-07-17,3,0,7,18,0,0,0,1,0.8,0.7273,0.46,0.2985,147,243,390
3094,2011-07-17,3,0,7,19,0,0,0,1,0.76,0.697,0.55,0.2836,145,234,379
3095,2011-07-17,3,0,7,20,0,0,0,1,0.76,0.7121,0.58,0.2537,85,177,262
3096,2011-07-17,3,0,7,21,0,0,0,1,0.74,0.6818,0.62,0.2239,59,148,207
3097,2011-07-17,3,0,7,22,0,0,0,1,0.72,0.6818,0.66,0.2239,65,116,181
3098,2011-07-17,3,0,7,23,0,0,0,1,0.7,0.6667,0.74,0.1343,39,54,93
3099,2011-07-18,3,0,7,0,0,1,1,1,0.7,0.6667,0.74,0.1343,21,30,51
3100,2011-07-18,3,0,7,1,0,1,1,1,0.7,0.6667,0.74,0.2239,17,8,25
3101,2011-07-18,3,0,7,2,0,1,1,1,0.66,0.6061,0.83,0.2239,2,8,10
3102,2011-07-18,3,0,7,3,0,1,1,1,0.66,0.6061,0.78,0.194,3,4,7
3103,2011-07-18,3,0,7,4,0,1,1,1,0.64,0.5909,0.78,0.1642,1,3,4
3104,2011-07-18,3,0,7,5,0,1,1,1,0.64,0.5909,0.78,0.1045,2,15,17
3105,2011-07-18,3,0,7,6,0,1,1,1,0.64,0.5758,0.83,0.1045,10,95,105
3106,2011-07-18,3,0,7,7,0,1,1,1,0.68,0.6364,0.74,0.2239,22,255,277
3107,2011-07-18,3,0,7,8,0,1,1,1,0.7,0.6515,0.7,0.194,18,329,347
3108,2011-07-18,3,0,7,9,0,1,1,1,0.74,0.697,0.67,0.2239,33,170,203
3109,2011-07-18,3,0,7,10,0,1,1,1,0.76,0.7121,0.62,0.194,52,78,130
3110,2011-07-18,3,0,7,11,0,1,1,1,0.8,0.7576,0.55,0.0896,42,99,141
3111,2011-07-18,3,0,7,12,0,1,1,1,0.8,0.7727,0.59,0.194,39,126,165
3112,2011-07-18,3,0,7,13,0,1,1,1,0.82,0.7879,0.56,0.2537,27,125,152
3113,2011-07-18,3,0,7,14,0,1,1,1,0.82,0.7879,0.56,0.3284,32,106,138
3114,2011-07-18,3,0,7,15,0,1,1,1,0.84,0.803,0.53,0.3284,53,111,164
3115,2011-07-18,3,0,7,16,0,1,1,1,0.84,0.803,0.53,0.2836,45,220,265
3116,2011-07-18,3,0,7,17,0,1,1,1,0.84,0.7879,0.49,0.3284,72,473,545
3117,2011-07-18,3,0,7,18,0,1,1,1,0.82,0.7727,0.49,0.3582,80,478,558
3118,2011-07-18,3,0,7,19,0,1,1,1,0.8,0.7576,0.55,0.2239,63,335,398
3119,2011-07-18,3,0,7,20,0,1,1,1,0.78,0.7424,0.59,0.2239,91,232,323
3120,2011-07-18,3,0,7,21,0,1,1,1,0.74,0.697,0.66,0.194,48,154,202
3121,2011-07-18,3,0,7,22,0,1,1,1,0.76,0.7273,0.66,0.2239,36,104,140
3122,2011-07-18,3,0,7,23,0,1,1,1,0.74,0.697,0.66,0.1642,32,59,91
3123,2011-07-19,3,0,7,0,0,2,1,1,0.74,0.697,0.66,0.1045,25,26,51
3124,2011-07-19,3,0,7,1,0,2,1,2,0.74,0.697,0.66,0.1343,7,6,13
3125,2011-07-19,3,0,7,2,0,2,1,1,0.72,0.6818,0.7,0.1642,9,4,13
3126,2011-07-19,3,0,7,3,0,2,1,1,0.72,0.6818,0.7,0.1642,2,1,3
3127,2011-07-19,3,0,7,4,0,2,1,1,0.72,0.6818,0.7,0.1343,1,4,5
3128,2011-07-19,3,0,7,5,0,2,1,2,0.7,0.6667,0.74,0.1045,0,19,19
3129,2011-07-19,3,0,7,6,0,2,1,2,0.72,0.697,0.74,0.1045,8,126,134
3130,2011-07-19,3,0,7,7,0,2,1,2,0.74,0.697,0.7,0.1642,28,287,315
3131,2011-07-19,3,0,7,8,0,2,1,2,0.76,0.7273,0.7,0.1642,31,381,412
3132,2011-07-19,3,0,7,9,0,2,1,2,0.8,0.7879,0.63,0.1343,22,177,199
3133,2011-07-19,3,0,7,10,0,2,1,2,0.82,0.7879,0.56,0.1642,29,112,141
3134,2011-07-19,3,0,7,11,0,2,1,1,0.82,0.803,0.59,0,29,98,127
3135,2011-07-19,3,0,7,12,0,2,1,1,0.84,0.8182,0.56,0.0896,26,127,153
3136,2011-07-19,3,0,7,13,0,2,1,1,0.86,0.8333,0.53,0.1045,33,139,172
3137,2011-07-19,3,0,7,14,0,2,1,1,0.86,0.8182,0.5,0.194,41,111,152
3138,2011-07-19,3,0,7,15,0,2,1,1,0.88,0.8182,0.44,0.194,48,110,158
3139,2011-07-19,3,0,7,16,0,2,1,1,0.9,0.8485,0.42,0.2985,61,216,277
3140,2011-07-19,3,0,7,17,0,2,1,1,0.8,0.803,0.66,0,68,445,513
3141,2011-07-19,3,0,7,18,0,2,1,1,0.8,0.803,0.66,0.1343,80,450,530
3142,2011-07-19,3,0,7,19,0,2,1,1,0.76,0.7424,0.75,0.194,54,334,388
3143,2011-07-19,3,0,7,20,0,2,1,1,0.74,0.7273,0.74,0.0896,48,229,277
3144,2011-07-19,3,0,7,21,0,2,1,1,0.74,0.7121,0.74,0.1343,47,194,241
3145,2011-07-19,3,0,7,22,0,2,1,1,0.74,0.7121,0.74,0,36,120,156
3146,2011-07-19,3,0,7,23,0,2,1,3,0.72,0.697,0.79,0.1642,19,73,92
3147,2011-08-01,3,0,8,0,0,1,1,1,0.72,0.6818,0.7,0.2239,7,22,29
3148,2011-08-01,3,0,8,1,0,1,1,1,0.72,0.697,0.74,0.194,5,12,17
3149,2011-08-01,3,0,8,2,0,1,1,1,0.7,0.6667,0.74,0.1045,4,7,11
3150,2011-08-01,3,0,8,3,0,1,1,1,0.7,0.6667,0.79,0.1642,0,4,4
3151,2011-08-01,3,0,8,4,0,1,1,1,0.66,0.6061,0.83,0.1343,2,2,4
3152,2011-08-01,3,0,8,5,0,1,1,1,0.66,0.6061,0.83,0.1045,2,24,26
3153,2011-08-01,3,0,8,6,0,1,1,1,0.66,0.6061,0.83,0.0896,3,97,100
3154,2011-08-01,3,0,8,7,0,1,1,1,0.74,0.6818,0.62,0,24,258,282
3155,2011-08-01,3,0,8,8,0,1,1,1,0.8,0.7273,0.43,0.194,35,347,382
3156,2011-08-01,3,0,8,9,0,1,1,1,0.82,0.7424,0.41,0,27,139,166
3157,2011-08-01,3,0,8,10,0,1,1,1,0.86,0.7576,0.36,0.1642,27,70,97
3158,2011-08-01,3,0,8,11,0,1,1,1,0.88,0.7727,0.32,0.1642,53,66,119
3159,2011-08-01,3,0,8,12,0,1,1,1,0.9,0.803,0.33,0.2537,53,115,168
3160,2011-08-01,3,0,8,13,0,1,1,1,0.9,0.803,0.31,0.2985,38,112,150
3161,2011-08-01,3,0,8,14,0,1,1,1,0.92,0.8182,0.29,0.194,37,86,123
3162,2011-08-01,3,0,8,15,0,1,1,1,0.9,0.7879,0.27,0,52,77,129
3163,2011-08-01,3,0,8,16,0,1,1,1,0.9,0.7879,0.27,0,34,197,231
3164,2011-08-01,3,0,8,17,0,1,1,1,0.76,0.6818,0.45,0.2985,69,445,514
3165,2011-08-01,3,0,8,18,0,1,1,1,0.78,0.697,0.43,0.194,68,475,543
3166,2011-08-01,3,0,8,19,0,1,1,1,0.74,0.6667,0.51,0.2239,63,350,413
3167,2011-08-01,3,0,8,20,0,1,1,1,0.72,0.6818,0.62,0.2239,49,256,305
3168,2011-08-01,3,0,8,21,0,1,1,1,0.7,0.6515,0.7,0.2537,42,178,220
3169,2011-08-01,3,0,8,22,0,1,1,1,0.7,0.6515,0.7,0.0896,21,116,137
3170,2011-08-01,3,0,8,23,0,1,1,1,0.68,0.6364,0.74,0.194,14,82,96
3171,2011-08-02,3,0,8,0,0,2,1,1,0.66,0.6212,0.74,0,11,18,29
3172,2011-08-02,3,0,8,1,0,2,1,1,0.66,0.6212,0.74,0.1045,4,8,12
3173,2011-08-02,3,0,8,2,0,2,1,1,0.68,0.6364,0.69,0,2,6,8
3174,2011-08-02,3,0,8,3,0,2,1,1,0.66,0.6212,0.74,0.194,0,5,5
3175,2011-08-02,3,0,8,4,0,2,1,1,0.66,0.6212,0.74,0.1045,0,10,10
3176,2011-08-02,3,0,8,5,0,2,1,1,0.66,0.6212,0.74,0.1343,4,17,21
3177,2011-08-02,3,0,8,6,0,2,1,1,0.68,0.6364,0.69,0.1045,12,105,117
3178,2011-08-02,3,0,8,7,0,2,1,1,0.72,0.6667,0.61,0.2836,15,320,335
3179,2011-08-02,3,0,8,8,0,2,1,1,0.74,0.6818,0.58,0.2836,37,398,435
3180,2011-08-02,3,0,8,9,0,2,1,1,0.78,0.697,0.46,0.2985,31,182,213
3181,2011-08-02,3,0,8,10,0,2,1,1,0.82,0.7273,0.36,0.2985,50,90,140
3182,2011-08-02,3,0,8,11,0,2,1,1,0.84,0.7273,0.32,0.4179,32,96,128
3183,2011-08-02,3,0,8,12,0,2,1,1,0.86,0.7424,0.3,0.2836,45,112,157
3184,2011-08-02,3,0,8,13,0,2,1,1,0.86,0.7424,0.3,0.2239,50,153,203
3185,2011-08-02,3,0,8,14,0,2,1,1,0.9,0.7727,0.25,0.2836,45,114,159
3186,2011-08-02,3,0,8,15,0,2,1,1,0.9,0.7727,0.25,0.2836,48,120,168
3187,2011-08-02,3,0,8,16,0,2,1,1,0.9,0.7727,0.25,0.2836,58,216,274
3188,2011-08-02,3,0,8,17,0,2,1,2,0.9,0.7879,0.27,0.1343,63,493,556
3189,2011-08-02,3,0,8,18,0,2,1,2,0.86,0.7576,0.34,0.194,65,491,556
3190,2011-08-02,3,0,8,19,0,2,1,2,0.86,0.7576,0.36,0.2239,85,369,454
3191,2011-08-02,3,0,8,20,0,2,1,2,0.82,0.7576,0.46,0.2537,40,248,288
3192,2011-08-02,3,0,8,21,0,2,1,1,0.8,0.7424,0.52,0.2239,53,201,254
3193,2011-08-02,3,0,8,22,0,2,1,2,0.78,0.7424,0.59,0.1642,22,169,191
3194,2011-08-02,3,0,8,23,0,2,1,2,0.8,0.7424,0.49,0.1642,29,103,132
3195,2011-08-03,3,0,8,0,0,3,1,2,0.8,0.7424,0.49,0.1642,11,32,43
3196,2011-08-03,3,0,8,1,0,3,1,2,0.78,0.7121,0.52,0.1642,7,9,16
3197,2011-08-03,3,0,8,2,0,3,1,2,0.78,0.7121,0.49,0.1642,2,9,11
3198,2011-08-03,3,0,8,3,0,3,1,2,0.76,0.697,0.55,0.0896,0,4,4
3199,2011-08-03,3,0,8,4,0,3,1,2,0.76,0.697,0.52,0.1642,0,7,7
3200,2011-08-03,3,0,8,5,0,3,1,2,0.76,0.697,0.55,0.0896,2,22,24
3201,2011-08-03,3,0,8,6,0,3,1,3,0.72,0.6818,0.66,0.4925,9,101,110
3202,2011-08-03,3,0,8,7,0,3,1,2,0.74,0.6667,0.51,0.2239,19,252,271
3203,2011-08-03,3,0,8,8,0,3,1,2,0.74,0.6667,0.51,0.1642,29,408,437
3204,2011-08-03,3,0,8,9,0,3,1,2,0.74,0.6818,0.55,0.194,23,172,195
3205,2011-08-03,3,0,8,10,0,3,1,3,0.74,0.6818,0.58,0.0896,9,59,68
3206,2011-08-03,3,0,8,11,0,3,1,2,0.74,0.6818,0.58,0.1045,29,93,122
3207,2011-08-03,3,0,8,12,0,3,1,3,0.76,0.697,0.55,0.1343,19,142,161
3208,2011-08-03,3,0,8,13,0,3,1,2,0.76,0.7121,0.58,0.2239,37,107,144
3209,2011-08-03,3,0,8,14,0,3,1,2,0.76,0.7121,0.58,0.2239,43,104,147
3210,2011-08-03,3,0,8,15,0,3,1,2,0.7,0.6667,0.79,0.1343,31,87,118
3211,2011-08-03,3,0,8,16,0,3,1,3,0.68,0.6364,0.79,0,21,129,150
3212,2011-08-03,3,0,8,17,0,3,1,2,0.7,0.6667,0.79,0,47,378,425
3213,2011-08-03,3,0,8,18,0,3,1,3,0.7,0.6667,0.84,0,49,443,492
3214,2011-08-03,3,0,8,19,0,3,1,3,0.7,0.6667,0.84,0,51,270,321
3215,2011-08-03,3,0,8,20,0,3,1,3,0.7,0.6667,0.84,0.1045,7,80,87
3216,2011-08-03,3,0,8,21,0,3,1,2,0.68,0.6364,0.89,0.1343,7,81,88
3217,2011-08-03,3,0,8,22,0,3,1,3,0.68,0.6364,0.89,0.1045,11,66,77
3218,2011-08-03,3,0,8,23,0,3,1,2,0.68,0.6364,0.89,0.0896,4,52,56
3219,2011-08-04,3,0,8,0,0,4,1,2,0.68,0.6364,0.89,0.0896,2,15,17
3220,2011-08-04,3,0,8,1,0,4,1,2,0.66,0.5909,0.94,0.0896,3,14,17
3221,2011-08-04,3,0,8,2,0,4,1,2,0.66,0.5909,0.94,0.0896,2,5,7
3222,2011-08-04,3,0,8,3,0,4,1,3,0.66,0.5909,0.94,0.0896,0,3,3
3223,2011-08-04,3,0,8,4,0,4,1,2,0.68,0.6364,0.89,0,0,7,7
3224,2011-08-04,3,0,8,5,0,4,1,2,0.68,0.6364,0.89,0,3,17,20
3225,2011-08-04,3,0,8,6,0,4,1,2,0.68,0.6364,0.89,0.2985,7,90,97
3226,2011-08-04,3,0,8,7,0,4,1,2,0.68,0.6364,0.89,0.2985,11,271,282
3227,2011-08-04,3,0,8,8,0,4,1,2,0.7,0.6515,0.82,0.3582,29,369,398
3228,2011-08-04,3,0,8,9,0,4,1,1,0.72,0.697,0.74,0.3284,25,162,187
3229,2011-08-04,3,0,8,10,0,4,1,1,0.72,0.6667,0.71,0.2985,24,89,113
3230,2011-08-04,3,0,8,11,0,4,1,2,0.74,0.697,0.66,0.2239,37,112,149
3231,2011-08-04,3,0,8,12,0,4,1,2,0.76,0.7121,0.62,0.2239,53,152,205
3232,2011-08-04,3,0,8,13,0,4,1,1,0.76,0.7121,0.58,0,63,142,205
3233,2011-08-04,3,0,8,14,0,4,1,1,0.8,0.7576,0.55,0.1642,53,114,167
3234,2011-08-04,3,0,8,15,0,4,1,1,0.8,0.7576,0.55,0.2537,50,115,165
3235,2011-08-04,3,0,8,16,0,4,1,1,0.76,0.7121,0.62,0.3284,70,220,290
3236,2011-08-04,3,0,8,17,0,4,1,1,0.76,0.7121,0.62,0.3284,91,464,555
3237,2011-08-04,3,0,8,18,0,4,1,1,0.7,0.6667,0.74,0.2985,88,435,523
3238,2011-08-04,3,0,8,19,0,4,1,1,0.7,0.6667,0.74,0.2836,65,301,366
3239,2011-08-04,3,0,8,20,0,4,1,2,0.7,0.6667,0.74,0.194,41,245,286
3240,2011-08-04,3,0,8,21,0,4,1,2,0.7,0.6667,0.74,0.194,25,186,211
3241,2011-08-04,3,0,8,22,0,4,1,1,0.68,0.6364,0.74,0.194,33,141,174
3242,2011-08-04,3,0,8,23,0,4,1,1,0.66,0.6212,0.74,0.1045,24,108,132
3243,2011-08-05,3,0,8,0,0,5,1,1,0.66,0.6212,0.74,0.1045,13,41,54
3244,2011-08-05,3,0,8,1,0,5,1,1,0.64,0.5909,0.78,0.0896,3,16,19
3245,2011-08-05,3,0,8,2,0,5,1,1,0.66,0.6212,0.69,0,5,14,19
3246,2011-08-05,3,0,8,3,0,5,1,1,0.64,0.5909,0.78,0.0896,0,6,6
3247,2011-08-05,3,0,8,4,0,5,1,1,0.64,0.5909,0.78,0.1343,1,6,7
3248,2011-08-05,3,0,8,5,0,5,1,1,0.64,0.5909,0.78,0.0896,0,16,16
3249,2011-08-05,3,0,8,6,0,5,1,1,0.64,0.5909,0.78,0.1343,7,94,101
3250,2011-08-05,3,0,8,7,0,5,1,1,0.66,0.6061,0.78,0.1343,23,247,270
3251,2011-08-05,3,0,8,8,0,5,1,1,0.7,0.6515,0.65,0.2239,39,415,454
3252,2011-08-05,3,0,8,9,0,5,1,1,0.72,0.6667,0.58,0.1045,43,183,226
3253,2011-08-05,3,0,8,10,0,5,1,1,0.74,0.6818,0.55,0.1343,50,113,163
3254,2011-08-05,3,0,8,11,0,5,1,2,0.76,0.697,0.52,0.2537,44,103,147
3255,2011-08-05,3,0,8,12,0,5,1,1,0.76,0.697,0.52,0.2537,57,159,216
3256,2011-08-05,3,0,8,13,0,5,1,1,0.78,0.7121,0.52,0.2537,40,164,204
3257,2011-08-05,3,0,8,14,0,5,1,2,0.78,0.7121,0.52,0.2537,81,164,245
3258,2011-08-05,3,0,8,15,0,5,1,1,0.76,0.697,0.55,0.2537,50,160,210
3259,2011-08-05,3,0,8,16,0,5,1,1,0.8,0.7424,0.49,0.2537,76,254,330
3260,2011-08-05,3,0,8,17,0,5,1,1,0.78,0.7121,0.49,0.2985,84,466,550
3261,2011-08-05,3,0,8,18,0,5,1,1,0.76,0.697,0.52,0.2537,105,361,466
3262,2011-08-05,3,0,8,19,0,5,1,1,0.74,0.6818,0.55,0.2537,90,282,372
3263,2011-08-05,3,0,8,20,0,5,1,1,0.72,0.6667,0.58,0.2239,70,221,291
3264,2011-08-05,3,0,8,21,0,5,1,1,0.7,0.6515,0.65,0.194,54,119,173
3265,2011-08-05,3,0,8,22,0,5,1,1,0.7,0.6515,0.65,0.2239,51,137,188
3266,2011-08-05,3,0,8,23,0,5,1,1,0.68,0.6364,0.69,0.2239,37,102,139
3267,2011-08-06,3,0,8,0,0,6,0,1,0.66,0.6061,0.78,0.194,29,104,133
3268,2011-08-06,3,0,8,1,0,6,0,1,0.66,0.6061,0.78,0.1642,17,50,67
3269,2011-08-06,3,0,8,2,0,6,0,1,0.66,0.6061,0.78,0.2239,14,39,53
3270,2011-08-06,3,0,8,3,0,6,0,2,0.66,0.6061,0.78,0.1642,14,28,42
3271,2011-08-06,3,0,8,4,0,6,0,2,0.66,0.6061,0.83,0.1642,5,5,10
3272,2011-08-06,3,0,8,5,0,6,0,1,0.64,0.5758,0.89,0.0896,2,4,6
3273,2011-08-06,3,0,8,6,0,6,0,1,0.64,0.5758,0.89,0.1045,5,22,27
3274,2011-08-06,3,0,8,7,0,6,0,1,0.68,0.6364,0.83,0.1642,14,49,63
3275,2011-08-06,3,0,8,8,0,6,0,1,0.68,0.6364,0.83,0.1642,27,94,121
